author,title,summary
samim,Generating Stories about Images – samim – Medium,"Using Taylor Swift Model. This experiment explores how to generate little romantic stories about images (incl. New machine-learning experiments are enabling us to generate stories based on the content of images. neural-storyteller gives us a fascinating glimpse into the future of storytelling. Using Romantic Novel Model. This experiment started by running 5000 randomly selected web-images through neural-storyteller and experimenting with hyper-parameters. guest star Taylor Swift). Neural-storyteller’s outputs are creative and often comedic. It combines recurrent neural networks (RNN), skip-thoughts vectors and other techniques to generate little story about images. neural-storyteller comes with 2 pre-trained models: One trained on 14 million passages of romance novels, the other trained on Taylor Swift Lyrics."
AirbnbEng,How Airbnb uses Machine Learning to Detect Host Preferences,"All these findings pointed to the same conclusion: if we could promote in our search results hosts who would be more likely to accept an accommodation request resulting from that search query, we would expect to see happier guests and hosts and more matches that turned into fun vacations (or productive business trips). At a two-sided marketplace like Airbnb, we also wanted to personalize search by the preference of the hosts whose listings would appear in the search results. I found similar dispersion in hosts’ tendency to accept other trip characteristics like the number of guests, whether it is a weekend trip etc. On average, for each trip characteristic we could not determine the preference for about 26% of hosts, because they never received an accommodation request that met those trip characteristics. For each search query that a guest enters on Airbnb’s search engine, our model computes the likelihood that relevant hosts will want to accommodate the guest’s request. Indeed, when I plotted hosts’ tendency to accept over the sum of the check-in gap and the check-out gap (3+1= 4 in the example above), as in the next plot, I found the effect that I expected to see: hosts were more likely to accept requests that fit well in their calendar and minimize gap days. Indeed, the dispersion in preferences reveals that some hosts like last minute stays better than far in advance stays — those in the bottom right — even though on average hosts prefer longer notice. And maybe hosts in big markets, like my friend, are different from hosts in smaller markets. For example, on average Airbnb hosts prefer accommodation requests that are at least a week in advance over last minute requests. To test the online performance of the model, we launched an experiment that used the predicted probability of host acceptance as a significant weight in our ranking algorithm that also includes many other features that capture guests’ preferences."
Adam Geitgey,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,"But right now, our neural network can’t do this. But now we want to process images with our neural network. To a computer, an image is really just a grid of numbers that represent how dark each pixel is:
To feed an image into our neural network, we simply treat the 18x18 pixel image as an array of 324 numbers:
The handle 324 inputs, we’ll just enlarge our neural network to have 324 input nodes:
Notice that our neural network also has two outputs now (instead of just one). We need to be smarter about how we process images into our neural network. How in the world do we feed images into a neural network instead of just numbers? Instead of feeding entire images into our neural network as one grid of numbers, we’re going to do something a lot smarter that takes advantage of the idea that an object is the same no matter where it appears in a picture. We created a small neural network to estimate the price of a house based on how many bedrooms it had, how big it was, and which neighborhood it was in:
We also know that the idea of machine learning is that the same generic algorithms can be reused with different data to solve different problems. A neural network takes numbers as input. Now that we have a trained neural network, we can use it! Our program can now recognize birds in images!"
Adam Geitgey,Machine Learning is Fun! Part 4: Modern Face Recognition with Deep Learning,"The end result is we turn the original image into a very simple representation that captures the basic structure of a face in a simple way:
To find faces in this HOG image, all we have to do is find the part of our image that looks the most similar to a known HOG pattern that was extracted from a bunch of other training faces:
Using this technique, we can now easily find faces in any image:
If you want to try this step out yourself using Python and dlib, here’s code showing how to generate and view HOG representations of images. So all we need to do ourselves is run our face images through their pre-trained network to get the 128 measurements for each face. For each step, we’ll learn about a different machine learning algorithm. To find faces in an image, we’ll start by making our image black and white because we don’t need color data to find faces:
Then we’ll look at every single pixel in our image one at a time. Then we could measure our unknown face the same way and find the known face with the closest measurements. But instead of training the network to recognize pictures objects like we did last time, we are going to train it to generate 128 measurements for each face. We need to build a pipeline where we solve each step of face recognition separately and pass the result of the current step to the next step. Machine learning people call the 128 measurements of each face an embedding. The simplest approach to face recognition is to directly compare the unknown face we found in Step 2 with all the pictures we have of people that have already been tagged. It turns out that the measurements that seem obvious to us humans (like eye color) don’t really make sense to a computer looking at individual pixels in an image."
Adam Geitgey,Machine Learning is Fun! Part 2 – Adam Geitgey – Medium,"Once I had all that data, I could use it to build a neural network to model how likely it is that you would start with any given letter. There just aren’t enough levels in the original Super Mario Brothers game to provide enough data for a really good model. I ended up with text files that looked like this:
Looking at the text file, you can see that Mario levels don’t really have much of a pattern if you read them line-by-line:
The patterns in a level really emerge when you think of the level as a series of columns:
So in order for the algorithm to find the patterns in our data, we need to feed the data in column-by-column. First, we need a data set for training our model. Because of this, it can model more cases than we could capture in one simple model. Let’s say I need to guess the next letter you are going to type at any point in your story. Can we use the same model that generated fake Hemingway text to generate fake Super Mario Brothers levels? With a lot more training, the model gets to the point where it generates perfectly valid data:
Let’s sample an entire level’s worth of data from our model and rotate it back horizontal:
This data looks great! Let’s use the first few words of Ernest Hemingway’s The Sun Also Rises as an example:
What letter is going to come next? But the one thing this kind of model can’t do is respond to patterns in data over time."
Arthur Juliani,Simple Reinforcement Learning with Tensorflow Part 0: Q-Learning with Tables and Neural Networks,"By updating in this way, the table slowly begins to obtain accurate measures of the expected future reward for a given action in a given state. We make updates to our Q-table using something called the Bellman equation, which states that the expected long-term reward for a given action is equal to the immediate reward from the current action combined with the expected reward from the best future action taken at the following state. In it’s simplest implementation, Q-Learning is a table of values for every state (row) and action (column) possible in the environment. We instead need some way to take a description of our state, and produce Q-values for actions without a table: that is where neural networks come in. In equation form, the rule looks like this:
This says that the Q-value for a given state (s) and action (a) should represent the current reward (r) plus the maximum discounted (γ) future reward expected according to our own table for the next state (s’) we would end up in. Instead of starting with a complex and unwieldy deep neural network, we will begin by implementing a simple lookup-table version of the algorithm, and then show how to implement a neural-network equivalent using Tensorflow. In the case of the FrozenLake environment, we have 16 possible states (one for each block), and 4 possible actions (the four directions of movement), giving us a 16x4 table of Q-values. Within each cell of the table, we learn a value for how good it is to take a given action within a given state. There are a number of possible extensions to our simple Q-Network which allow for greater performance and more robust learning. Unlike policy gradient methods, which attempt to learn functions which directly map an observation to an action, Q-Learning attempts to learn the value of being in a given state, and taking a specific action there."
Adam Geitgey,Machine Learning is Fun Part 6: How to do Speech Recognition with Deep Learning,"To make this data easier for a neural network to process, we are going to break apart this complex sound wave into it’s component parts. Let’s use this sound clip of me saying “Hello”:
Sound waves are one-dimensional. If you know how neural machine translation works, you might guess that we could simply feed sound recordings into a neural network and train it to produce text:
That’s the holy grail of speech recognition with deep learning, but we aren’t quite there yet (at least at the time that I wrote this — I bet that we will be in a couple of years). It breaks apart the complex sound wave into the simple sound waves that make it up. A neural network can find patterns in this kind of data more easily than raw sound waves. We could feed these numbers right into a neural network. In Part 3, we learned how to take an image and treat it as an array of numbers so that we can feed directly into a neural network for image recognition:
But sound is transmitted as waves. Let’s learn how to do speech recognition with deep learning! Let’s zoom in on one tiny part of the sound wave and take a look:
To turn this sound wave into numbers, we just record of the height of the wave at equally-spaced points:
This is called sampling. The first step in speech recognition is obvious — we need to feed sound waves into a computer."
Adam Geitgey,Machine Learning is Fun Part 5: Language Translation with Deep Learning and the Magic of Sequences,"Take this possible translation:
It’s likely that no one has ever written a sentence like this in English, so it would not be very similar to any sentences in our data set. We could use our parallel corpora training data to train it to do that:
And just like that, we have a generic way of converting a sequence of English words into an equivalent sequence of Spanish words! We can come up with an encoding that represents every possible different sentence as a series of unique numbers:
To generate this encoding, we’ll feed the sentence into the RNN, one word at time. Here are some examples:
But in a real-world system, there will be even more possible chunk combinations because we’ll also try different orderings of words and different ways of chunking the sentence:
Now need to scan through all of these generated sentences to find the one that is that sounds the “most human.”
To do this, we compare each generated sentence to millions of real sentences from books and news stories written in English. For example, you can use it to predict the next most likely word in a sentence based on the first few words:
RNNs are useful any time you want to learn patterns in data. But look at this possible translation:
This sentence will be similar to something in our training set, so it will get a high probability score. Statistical machine translation systems perform much better than rule-based systems if you give them enough training data. Then they trained a sequence-to-sequence model where the employee’s question was the input sentence and the Tech Support team’s response was the “translation” of that sentence. Deep learning researchers who know almost nothing about language translation are throwing together relatively simple machine learning solutions that are beating the best expert-built language translation systems in the world. Building a statistics-based translation system requires lots of training data where the exact same text is translated into at least two languages."
Tal Perry,Deep Learning the Stock Market – Tal Perry – Medium,"In Eidnes’ example, the output of the LSTMs is a vector that represents what the next word will be in some abstract space. In Karpathy’s example, the output of the LSTMs is a vector that represents the next character in some abstract representation. Going deeper
I want to point out that this is where we start to get into the deep part of deep learning. Lars inputs a sequence of Word Vectors and each one of them:
We’re going to do the same thing with one difference, instead of word vectors we’ll input “MarketVectors”, those market vectors we described before. Then we’ll get a sequence that looks like:
We want to take the vector that our LSTMs output and squish it so that it gives us the probability of the next item in our sequence being a 1. But, I want to achieve something specific with the first layer, the one that takes as input the 4000 dimensional vector and outputs a 300 dimensional one. Where Karpathy used characters, we’re going to use our market vectors and feed them into the magic black box. Now each output of the previous LSTM becomes the inputs of the next LSTM, and each one goes on to learn higher abstractions of the data coming in. So I’ll get back to the mechanics of that magic box in a second, but let me remind you that we want to predict the future market based on the past just like he predicted the next word based on the previous one. (Remember, a “word vector” is a representation of a word in the form of a bunch of numbers, like we saw in the beginning of this post)."
Andrej Karpathy,Yes you should understand backprop – Andrej Karpathy – Medium,"See a longer explanation in CS231n lecture video. See a longer explanation in this CS231n lecture video. See a longer explanation in this CS231n lecture video. The forward and backward pass for a fully connected layer that uses ReLU would at the core include:
If you stare at this for a while you’ll see that if a neuron gets clamped to zero in the forward pass (i.e. But if that is the case, z*(1-z), which is local gradient of the sigmoid non-linearity, will in both cases become zero (“vanish”), making the gradient for both x and W be zero. When you stare at what the backward pass is doing, you’ll see that the gradient signal going backwards in time through all the hidden states is always being multiplied by the same matrix (the recurrence matrix Whh), interspersed with non-linearity backprop. For example, a fully connected layer with sigmoid non-linearity computes (using raw numpy):
If your weight matrix W is initialized too large, the output of the matrix multiply could have a very large range (e.g. I hope you’ll be much more suspicious of backpropagation going forward and think carefully through what the backward pass is doing. Another fun non-linearity is the ReLU, which thresholds neurons at zero from below. TLDR: if you’re using sigmoids or tanh non-linearities in your network and you understand backpropagation you should always be nervous about making sure that the initialization doesn’t cause them to be fully saturated."
Per Harald Borgen,Machine Learning in a Year – Learning New Stuff – Medium,"A few weeks in, I wanted to learn how to actually code machine learning algorithms, so I started a study group with a few of my peers. This is a follow up to an article I wrote last year, Machine Learning in a Week, on how I kickstarted my way into machine learning (ml) by devoting five days to the subject. But also a fast one; when I started my machine learning in a week project, I certainly didn’t have any hopes of actually using it professionally within a year. After this highly effective introduction, I continued learning on my spare time and almost exactly one year later I did my first ml project at work, which involved using various ml and natural language processing (nlp) techniques to qualify sales leads at Xeneta. Every Tuesday evening, we’d watch lectures from Coursera’s Machine Learning course. Having gotten a basic understanding of neural networks at this point, I wanted to move on to deep learning. So I began watching the first few chapters of Udacity’s Supervised Learning course, while also reading all articles I came across on the subject. So it might be that I simply wasn’t ready for the course. My first attempt was Udacity’s Deep Learning course, which ended up as a big disappointment. So I asked my manager if I could spend some time learning stuff during my work hours as well, which he happily approved."
Xiaohan Zeng,"I interviewed at five top companies in Silicon Valley in five days, and luckily got five job offers","Three are machine learning engineer (LinkedIn, Google, Facebook), one is data engineer (Salesforce), and one is software engineer in general (Airbnb). In the five days from July 24th to 28th 2017, I interviewed at LinkedIn, Salesforce Einstein, Google, Airbnb, and Facebook, and got all five job offers. The bar is very high and the process is quite long, including one pre-screening questionnaire, one phone screening, one coding assignment, and one full onsite. One thing that I felt special about Google’s interviews is that the analysis of algorithm complexity is really important. I was able to skip the second round phone screening with Airbnb and Salesforce because I got the onsite at LinkedIn and Facebook after only one phone screening. The only difference is in the duration: For some companies like LinkedIn it’s one hour, while for Facebook and Airbnb it’s 45 minutes. Therefore I needed to prepare for three different areas: coding, machine learning, and system design. For machine learning positions some companies would ask ML questions. Here are some resources that I found really helpful:
Although system design interviews can cover a lot of topics, there are some general guidelines for how to approach the problem:
With all that said, the best way to practice for system design interviews is to actually sit down and design a system, i.e. I flew in on Sunday, had five full days of interviews with around 30 interviewers at some best tech companies in the world, and very luckily, got job offers from all five of them."
Gil Fewster,The mind-blowing AI announcement from Google that you probably missed.,"Up until September of last year, Google Translate used phrase-based translation. All that changed in September, when Google gave their translation tool a new engine: the Google Neural Machine Translation system (GNMT). Phrase-based translation has no capacity to make educated guesses at words it doesn’t recognize, and can’t learn from new input. Not only was the article competing with the pre-Christmas rush that most of us were navigating — it was also tucked away on Google’s Research Blog, beneath the geektastic headline Zero-Shot Translation with Google’s Multilingual Neural Machine Translation System. Here’s Google’s Mike Schuster, Nikhil Thorat, and Melvin Johnson from the original blog post:
Here you can see an advantage of Google’s new neural machine over the old phrase-based approach. A neural computing system designed to translate content from one human language into another developed its own internal language to make the task more efficient. Which is a shame, because it may just be the most astonishing article about machine learning that I read last year. Google Translate invented its own language to help it translate more effectively. The short version is that Google Translate got smart. Phrase-based translation is a blunt instrument."
David Venturi,"Every single Machine Learning course on the internet, ranked by your reviews",It has a 4-star weighted average rating over 3 reviews. It has a 3.6-star weighted average rating over 5 reviews. It has a 4-star weighted average rating over 4 reviews. It has a 4.5-star weighted average rating over 6 reviews. It has a 2-star weighted average rating over 2 reviews. It has a 4.5-star weighted average rating over 2 reviews. Free and paid options available. Free and paid options available. Free and paid options available. Free and paid options available.
Vishal Maini,A Beginner’s Guide to AI/ML 🤖👶 – Machine Learning for Humans – Medium,"Part 2.1: Supervised Learning. Demystifying artificial intelligence & machine learning. Machine learning is a subfield of artificial intelligence. Part 1: Why Machine Learning Matters. And now, without further ado, let’s dive into machine learning with Part 2.1: Supervised Learning! Q-learning, policy learning, and deep reinforcement learning. Part 5: Reinforcement Learning. Part 2.2: Supervised Learning II. Part 2.3: Supervised Learning III. Part 4: Neural Networks & Deep Learning."
Tim Anglade,"How HBO’s Silicon Valley built “Not Hotdog” with mobile TensorFlow, Keras & React Native","A neural network can only be as good as the data that trained it, and improving training set quality was probably one of the top 3 things we spent time on during this project. The HBO show Silicon Valley released a real AI app that identifies hotdogs — and not hotdogs — like the one shown on season 4’s 4th episode (the app is now available on Android as well as iOS!) There were 3 main factors:
For these reasons, we started experimenting with what’s trendily called “edge computing”, which for our purposes meant that after training our neural network on our laptop, we would export it and embed it directly into our mobile app, so that the neural network execution phase (or inference) would run directly inside the user’s phone. First The nature of our problem meant a strong imbalance in training data: there are many more examples of things that are not hotdogs, than things that are hotdogs. The problem directly ahead of us was simple: if Inception and VGG were too big, was there a simpler, pre-trained neural network we could retrain? While the network (Inception in this case) may have been trained on the 14M images contained in ImageNet, we were able to retrain it on a just a few thousand hotdog images to get drastically enhanced hotdog recognition. The key things we did to improve this were:
The final composition of our dataset was 150k images, of which only 3k were hotdogs: there are only so many hotdogs you can look at, but there are many not hotdogs to look at. After adding Batch Normalization and ELU to SqueezeNet, we were able to train neural network that achieve 90%+ accuracy when training from scratch, however, they were relatively brittle meaning the same network would overfit in some cases, or underfit in others when confronted to real-life testing. I could build it in one weekend!” This app probably feels a lot like that, and the initial prototype was indeed built in a single weekend using Google Cloud Platform’s Vision API, and React Native. Most AI apps will hit more critical cultural biases than ours, but as an example, even our straightforward use-case, caught us flat-footed with built-in biases in our initial dataset, that made the app unable to recognize French-style hotdogs, Asian hotdogs, and more oddities we did not have immediate personal experience with."
Sophia Ciocca,How Does Spotify Know You So Well? – Member Feature Stories – Medium,"To create Discover Weekly, there are three main types of recommendation models that Spotify employs:
Let’s dive into how each of these recommendation models work! Then, much like in collaborative filtering, the NLP model uses these terms and weights to create a vector representation of the song that can be used to determine if two pieces of music are similar. Each of these individuals has track preferences: the one on the left likes tracks P, Q, R, and S, while the one on the right likes tracks Q, R, S, and T.
Collaborative filtering then uses that data to say:
“Hmmm... You both like three of the same tracks — Q, R, and S — so you are probably similar users. First, some background: When people hear the words “collaborative filtering,” they generally think of Netflix, as it was one of the first companies to use this method to power a recommendation model, taking users’ star-based movie ratings to inform its understanding of which movies to recommend to other similar users. Each row represents one of Spotify’s 140 million users — if you use Spotify, you yourself are a row in this matrix — and each column represents one of the 30 million songs in Spotify’s database. Luckily, raw audio models don’t discriminate between new tracks and popular tracks, so with their help, your friend’s song could end up in a Discover Weekly playlist alongside popular songs! The second type of recommendation models that Spotify employs are Natural Language Processing (NLP) models. But this model also serves a secondary purpose: unlike the first two types, raw audio models take new songs into account. Let’s zoom out for a second to look at how other music services have tackled music recommendations, and how Spotify’s doing it better. To find out which users’ musical tastes are most similar to mine, collaborative filtering compares my vector with all of the other users’ vectors, ultimately spitting out which users are the closest matches."
Dhruv Parthasarathy,A Brief History of CNNs in Image Segmentation: From R-CNN to Mask R-CNN,"In the image above, you can see how a single CNN is used to both carry out region proposals and classification. With these anchor boxes in mind, let’s take a look at the inputs and outputs to this Region Proposal Network:
We then pass each such bounding box that is likely to be an object into Fast R-CNN to generate a classification and tightened bounding boxes. The insight of Faster R-CNN was that region proposals depended on features of the image that were already calculated with the forward pass of the CNN (first step of classification). Fast R-CNN Insight 1: RoI (Region of Interest) Pooling
For the forward pass of the CNN, Girshick realized that for each image, a lot of proposed regions for the image invariably overlapped causing us to run the same CNN computation again and again (~2000 times!). The authors write:
Here are the inputs and outputs of their model:
How the Regions are Generated
Let’s take a moment to see how Faster R-CNN generates these region proposals from CNN features. Where earlier we had different models to extract image features (CNN), classify (SVM), and tighten bounding boxes (regressor), Fast R-CNN instead used a single network to compute all three. Understanding R-CNN
The goal of R-CNN is to take in an image, and correctly identify where the main objects (via a bounding box) in the image. In the image above, notice how the CNN features for each region are obtained by selecting a corresponding region from the CNN’s feature map. In particular, we’ll cover R-CNN (Regional CNN), the original application of CNNs to this problem, along with its descendants Fast R-CNN, and Faster R-CNN. Much like Fast R-CNN, and Faster R-CNN, Mask R-CNN’s underlying intuition is straight forward."
Andrej Karpathy,Software 2.0 – Andrej Karpathy – Medium,"Software 1.0 is code we write. They are Software 2.0. Software 2.0 is code we do not write, but seems to work well. If you think of neural networks as a new software stack and not just a pretty good classifier, it quickly becomes apparent there is a lot of work to do. will be subject to this transition, because the optimization can find much better code than what we can write. This is because Google is currently at the forefront of re-writing large chunks of itself into Software 2.0 code. Let’s take a look at some of the benefits of Software 2.0 (think: a ConvNet) compared to Software 1.0 (think: a production-level C++ code base). In contrast, Software 2.0 can be written in much more abstract, human unfriendly language, such as the weights of a neural network. Neural networks are not just another classifier, they represent the beginning of a fundamental shift in how we write software. As a corollary, since the instruction set of a neural network is relatively small, it is significantly easier to implement these networks much closer to silicon, e.g."
Sebastian Heinz,A simple deep learning model for stock price prediction using TensorFlow,"We need two placeholders in order to fit our model: X contains the network's inputs (the stock prices of all S&P 500 constituents at time T = t) and Y the network's outputs (the index value of the S&P 500 at time T = t + 1). Also our data science consultants at STATWORX are heavily using TensorFlow for deep learning and neural net research and development. The dataset was split into training and test data. During minibatch training random data samples of n = batch_size are drawn from the training data and fed into the network. The cost function of the network is used to generate a measure of deviation between the network’s predictions and the actual observed training targets. Initializers are used to initialize the network’s variables before training. Other network architectures, such as recurrent neural networks, also allow data flowing “backwards” in the network. After having defined the placeholders, variables, initializers, cost functions and optimizers of the network, the model needs to be trained. Since neural networks are actually graphs of data and mathematical operations, TensorFlow is just perfect for neural networks and deep learning. The user defines an abstract representation of the model (neural network) through placeholders and variables."
Netflix Technology Blog,Artwork Personalization at Netflix – Netflix TechBlog – Medium,"The optimal assignment of image artwork to a member is a selection problem to find the best candidate image from a title’s pool of available images. What we seek to understand is when presenting a specific piece of artwork for a title influenced a member to play (or not to play) a title and when a member would have played a title (or not) regardless of which image we presented. Exploration in contextual bandits typically has a cost (or regret) due to the fact that our artwork selection in a member session may not use the predicted best image for that session. In this online learning setting, we train our contextual bandit model to select the best artwork for each member based on their context. Even with this simplification we can still learn member image preferences across titles because, for every image candidate, we have some members who were presented with it and engaged with the title and some members who were presented with it and did not engage. For artwork personalization, the specific online learning framework we use is contextual bandits. One challenge of image personalization is that we can only select a single piece of artwork to represent each title in each place we present it. Of course, to properly learn how to personalize artwork we need to collect a lot of data to find signals that indicate when one piece of artwork is significantly better for a member. To learn the selection model, we can consider a simplification of the problem by ranking images for a member independently across titles. For personalization, the member is the context as we expect different members to respond differently to the images."
Michael Jordan,Artificial Intelligence — The Revolution Hasn’t Happened Yet,"As for the necessity argument, it is sometimes argued that the human-imitative AI aspiration subsumes IA and II aspirations, because a human-imitative AI system would not only be able to solve the classical problems of AI (as embodied, e.g., in the Turing test), but it would also be our best bet for solving IA and II problems. First, although one would not know it from reading the newspapers, success in human-imitative AI has in fact been limited — we are very far from realizing human-imitative AI aspirations. We need to solve IA and II problems on their own merits, not as a mere corollary to a human-imitative AI agenda. Whereas civil engineering and chemical engineering were built on physics and chemistry, this new engineering discipline will be built on ideas that the preceding century gave substance to — ideas such as “information,” “algorithm,” “data,” “uncertainty,” “computing,” “inference,” and “optimization.” Moreover, since much of the focus of the new discipline will be on data from and about humans, its development will require perspectives from the social sciences and humanities. One could argue that an AI system would not only imitate human intelligence, but also “correct” it, and would also scale to arbitrarily large problems. However, the current focus on doing AI research via the gathering of data, the deployment of “deep learning” infrastructure, and the demonstration of systems that mimic certain narrowly-defined human skills — with little in the way of emerging explanatory principles — tends to deflect attention from major open problems in classical AI. In the current era, we have a real opportunity to conceive of something historically new — a human-centric engineering discipline. It is those challenges that need to be in the forefront, and in such an effort a focus on human-imitative AI may be a distraction. The past two decades have seen major progress — in industry and academia — in a complementary aspiration to human-imitative AI that is often referred to as “Intelligence Augmentation” (IA). These are classical goals in human-imitative AI, but in the current hubbub over the “AI revolution,” it is easy to forget that they are not yet solved."
Blaise Aguera y Arcas,Do algorithms reveal sexual orientation or just expose our stereotypes?,"The results show that lesbians indeed use eyeshadow much less than straight women do, gay men and women do both wear glasses more, and young opposite-sex-attracted men are considerably more likely to have prominent facial hair than their gay or same-sex-attracted peers. However, asking the question “Do you like how you look in glasses?” reveals that this is likely more of a stylistic choice:
Same-sex attracted women also report wearing glasses more, as well as liking how they look in glasses more, across a range of ages:
One can also see how opposite-sex attracted women under the age of 40 wear contact lenses significantly more than same-sex attracted women, despite reporting that they have a vision defect at roughly the same rate, further illustrating how the difference is driven by an aesthetic preference: [4]
Similar analysis shows that young same-sex attracted men are much less likely to have hairy faces than opposite-sex attracted men (“serious facial hair” in our plots is defined as answering “yes” to having a goatee, beard, or moustache, but “no” to stubble). Overall, opposite-sex attracted men in our sample are 35% more likely to have serious facial hair than same-sex attracted men, and for men under the age of 31 (who are overrepresented on dating websites), this rises to 75%. In the following figures, we show the proportion of women who answer “yes” to “Do you ever use makeup?” (top) and “Do you wear eyeshadow?” (bottom), averaged over 6-year age intervals:
The blue curves represent strictly opposite-sex attracted women (a nearly identical set to those who answered “yes” to “Are you heterosexual or straight?”); the cyan curve represents women who answer “yes” to either or both of “Are you sexually attracted to women?” and “Are you romantically attracted to women?”; and the red curve represents women who answer “yes” to “Are you homosexual, gay or lesbian?”. [2] The patterns revealed here are intuitive; it won’t be breaking news to most that straight women tend to wear more makeup and eyeshadow than same-sex attracted and (even more so) lesbian-identifying women. This is consistent with a pattern of heterosexual men on average shooting from below, heterosexual women from above as the wedding photographer suggests, and gay men and lesbian women from directly in front. Our survey confirms that opposite-sex attracted men consistently self-report having a tan face (“Yes” to “Is your face tan?”) slightly more often than same-sex attracted men:
Once again Wang and Kosinski reach for a hormonal explanation, writing: “While the brightness of the facial image might be driven by many factors, previous research found that testosterone stimulates melanocyte structure and function leading to a darker skin”. The fact that we see a cohort of same-sex attracted men in their 40s who have just as much facial hair as opposite-sex attracted men suggests a different story, in which fashion trends and cultural norms play the dominant role in choices about facial hair among men, not differing exposure to hormones early in development. Composite images of the lesbian, gay, and straight men and women in the sample reveal a great deal about the information available to the algorithm:
Clearly there are differences between these four composite faces. That same-sex attracted men of most ages wear glasses significantly more than exclusively opposite-sex attracted men do might be a bit less obvious, but this trend is equally clear: [3]
A proponent of physiognomy might be tempted to guess that this is somehow related to differences in visual acuity between these populations of men."
James Le,A Tour of The Top 10 Algorithms for Machine Learning Newbies,"Because of the way that the model is learned, the predictions made by logistic regression can also be used as the probability of a given data instance belonging to class 0 or class 1. For regression problems, this might be the mean output variable, for classification problems this might be the mode (or most common) class value. Logistic regression is like linear regression in that the goal is to find the values for the coefficients that weight each input variable. After all the trees are built, predictions are made for new data, and the performance of each tree is weighted by how accurate it was on training data. When you need to make a prediction for new data, each model makes a prediction and the predictions are averaged to give a better estimate of the true output value. If we did, we would use it directly and we would not need to learn it from data using machine learning algorithms. Predictions are made for a new data point by searching through the entire training set for the K most similar instances (the neighbors) and summarizing the output variable for those K instances. It’s a simple and powerful method for classification predictive modeling problems. Once calculated, the probability model can be used to make predictions for new data using Bayes Theorem. Logistic Regression is a classification algorithm traditionally limited to only two-class classification problems."
Emmanuel Ameisen,How to solve 90% of NLP problems: a step-by-step guide,"This is called a Bag of Words model, since it is a representation that completely ignores the order of words in our sentence. Using this approach we can get word importance scores like we had for previous models and validate our model’s predictions. To validate our model and interpret its predictions, it is important to look at which words it is using to make decisions. In order to see whether the Bag of Words features are of any use, we can train a classifier based on them. Right now, our Bag of Words model is dealing with a huge vocabulary of different words and treating all words equally. Plotting word importance is simple with Bag of Words and Logistic Regression, since we can just extract and rank the coefficients that the model used for its predictions. Using pre-trained words
Word2Vec is a technique to find continuous embeddings for words. Since our embeddings are not represented as a vector with one dimension per word as in our previous models, it’s harder to see which words are the most relevant to our classification. In order to help our model focus more on meaningful words, we can use a TF-IDF score (Term Frequency, Inverse Document Frequency) on top of our Bag of Words model. Here is a visualization of our new embeddings using previous techniques:
The two groups of colors look even more separated here, our new embeddings should help our classifier find the separation between both classes."
Mybridge,30 Amazing Machine Learning Projects for the Past Year (v.2018),"Courtesy of Dabi Ahn, AI Research at Kakao Brain
That’s it for Machine Learning open source projects. Courtesy of Nikhil Thorat at Google Brain
Fast Style Transfer in TensorFlow [4843 stars on Github]. Courtesy of Akshay Bhat, Ph.D at Cornell University
OpenNMT: Open-Source Neural Machine Translation in Torch [1490 stars on Github]. Deep-image-prior: Image restoration with neural networks but without learning [2188 stars on Github]. Courtesy of Google Brain
Style2Paints: AI colorization of images [3310 stars on Github]. Courtesy of Timo Ewalds at DeepMind
AirSim: Open source simulator based on Unreal Engine for autonomous vehicles from Microsoft AI & Research [3861 stars on Github]. [1188 stars on Github]. [2629 stars on Github]. [11786 stars on Github]. [1967 stars on Github]."
David Foster,How to build your own AlphaZero AI using Python and Keras,"You can replace the game.py file with any game file that conforms to the same API and the algorithm will in principal, learn strategy through self play, based on the rules you have given it. If you switch the Connect4 game.py file for the Metasquares game.py file, the same algorithm will learn how to play Metasquares instead. There is a game.py file for a game called ‘Metasquares’ in the games folder. The game that our algorithm will learn to play is Connect4 (or Four In A Row). To view individual convolutional filters and densely connected layers in the neural network, run the following inside the the run.ipynb notebook:
This contains the Node, Edge and MCTS classes, that constitute a Monte Carlo Search Tree. If it wins, the neural network inside the best_player is switched for the neural network inside the current_player, and the loop starts again. An instance of the Memory class stores the memories of previous games, that the algorithm uses to retrain the neural network of the current_player. This file contains the Residual_CNN class, which defines how to build an instance of the neural network. The best_player contains the best performing neural network and is used to generate the self play memories. To play against your creation, run the following code (it’s also in the run.ipynb notebook)
When you run the algorithm, all model and memory files are saved in the run folder, in the root directory."
